출발시간	출발위치	출발X좌표	출발Y좌표	도착시간	도착위치	도착X좌표	도착Y좌표	국적	성	연령	유동인구	노드X좌표	노드Y좌표	다음노드X좌표	다음노드Y좌표
2024-05-30 19:20	83975751	127.0746223	37.54834615	2024-05-30 19:30	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.073845	37.54741	127.073774	37.547428
2024-05-30 19:20	83975751	127.0746223	37.54834615	2024-05-30 19:30	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.073774	37.547428	127.073112	37.547598
2024-05-30 19:20	83975751	127.0746223	37.54834615	2024-05-30 19:30	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.073112	37.547598	127.07267	37.54771
2024-05-30 19:20	83975751	127.0746223	37.54834615	2024-05-30 19:30	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.07267	37.54771	127.072151	37.547842
2024-05-30 19:20	83975751	127.0746223	37.54834615	2024-05-30 19:30	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.072151	37.547842	127.071601	37.547942
2024-05-30 19:20	83975751	127.0746223	37.54834615	2024-05-30 19:30	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.071601	37.547942	127.07127	37.547977
2024-05-30 19:20	83975751	127.0746223	37.54834615	2024-05-30 19:30	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.07127	37.547977	127.070491	37.548087
2024-05-30 19:20	83975751	127.0746223	37.54834615	2024-05-30 19:30	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.070491	37.548087	127.070519	37.548177
2024-05-30 19:20	83975751	127.0746223	37.54834615	2024-05-30 19:30	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.070519	37.548177	127.070724	37.548843
2024-05-30 19:20	83975751	127.0746223	37.54834615	2024-05-30 19:30	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.070724	37.548843	127.070825	37.549216
2024-05-30 19:20	83975751	127.0746223	37.54834615	2024-05-30 19:30	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.070825	37.549216	127.070873	37.549422
2024-05-30 19:20	83975751	127.0746223	37.54834615	2024-05-30 19:30	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.070873	37.549422	127.070943	37.549718
2024-05-30 19:20	83975751	127.0746223	37.54834615	2024-05-30 19:30	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.070943	37.549718	127.071022	37.550054
2024-05-30 19:20	83975751	127.0746223	37.54834615	2024-05-30 19:30	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.071022	37.550054	127.071123	37.550617
2024-05-30 19:20	83975751	127.0746223	37.54834615	2024-05-30 19:30	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.071123	37.550617	127.071183	37.550912
2024-05-30 19:20	83975751	127.0746223	37.54834615	2024-05-30 19:30	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.071183	37.550912	127.071204	37.551008
2024-05-30 19:20	83975751	127.0746223	37.54834615	2024-05-30 19:30	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.071204	37.551008	127.071219	37.551222
2024-05-30 19:20	83975751	127.0746223	37.54834615	2024-05-30 19:30	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.071219	37.551222	127.071233	37.551416
2024-05-30 19:20	83975751	127.0746223	37.54834615	2024-05-30 19:30	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.071233	37.551416	127.071241	37.551636
2024-05-30 19:20	83975751	127.0746223	37.54834615	2024-05-30 19:30	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.071241	37.551636	127.071247	37.551783
2024-05-30 19:20	83975751	127.0746223	37.54834615	2024-05-30 19:30	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.071247	37.551783	127.071306	37.551997
2024-05-30 19:20	83975751	127.0746223	37.54834615	2024-05-30 19:30	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.071306	37.551997	127.071324	37.552077
2024-05-30 19:20	83975751	127.0746223	37.54834615	2024-05-30 19:30	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.071324	37.552077	127.071375	37.552186
2024-05-30 19:20	83975751	127.0746223	37.54834615	2024-05-30 19:30	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.071375	37.552186	127.071415	37.552257
2024-05-30 19:20	83975751	127.0746223	37.54834615	2024-05-30 19:30	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.071415	37.552257	127.071473	37.552329
2024-05-30 19:20	83975751	127.0746223	37.54834615	2024-05-30 19:30	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.071473	37.552329	127.071573	37.552427
2024-05-30 19:20	83975751	127.0746223	37.54834615	2024-05-30 19:30	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.071573	37.552427	127.071692	37.552541
2024-05-30 19:20	83975751	127.0746223	37.54834615	2024-05-30 19:30	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.071692	37.552541	127.071799	37.55263
2024-05-30 19:20	83975751	127.0746223	37.54834615	2024-05-30 19:30	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.071799	37.55263	127.071958	37.552719
2024-05-30 19:20	83975751	127.0746223	37.54834615	2024-05-30 19:30	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.071958	37.552719	127.072247	37.552878
2024-05-30 19:20	83975751	127.0746223	37.54834615	2024-05-30 19:30	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.072247	37.552878	127.072482	37.552997
2024-05-30 19:20	83975751	127.0746223	37.54834615	2024-05-30 19:30	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.072482	37.552997	127.072534	37.552778
2024-05-30 19:20	83975751	127.0746223	37.54834615	2024-05-30 19:30	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.072534	37.552778	127.072624	37.552368
2024-05-30 19:20	83975751	127.0746223	37.54834615	2024-05-30 19:30	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.072624	37.552368	127.072764	37.552243
2024-05-30 19:20	83975751	127.0746223	37.54834615	2024-05-30 19:30	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.072764	37.552243	127.072878	37.552142
2024-05-30 19:20	83975751	127.0746223	37.54834615	2024-05-30 19:30	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.072878	37.552142	127.073317	37.55251
2024-05-30 21:30	83975751	127.0746223	37.54834615	2024-05-30 21:40	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.074782	37.548286	127.074596	37.547976
2024-05-30 21:30	83975751	127.0746223	37.54834615	2024-05-30 21:40	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.074596	37.547976	127.074479	37.547822
2024-05-30 21:30	83975751	127.0746223	37.54834615	2024-05-30 21:40	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.074479	37.547822	127.074213	37.547439
2024-05-30 21:30	83975751	127.0746223	37.54834615	2024-05-30 21:40	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.074213	37.547439	127.074121	37.54734
2024-05-30 21:30	83975751	127.0746223	37.54834615	2024-05-30 21:40	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.074121	37.54734	127.073845	37.54741
2024-05-30 21:30	83975751	127.0746223	37.54834615	2024-05-30 21:40	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.073845	37.54741	127.073774	37.547428
2024-05-30 21:30	83975751	127.0746223	37.54834615	2024-05-30 21:40	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.073774	37.547428	127.073112	37.547598
2024-05-30 21:30	83975751	127.0746223	37.54834615	2024-05-30 21:40	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.073112	37.547598	127.07267	37.54771
2024-05-30 21:30	83975751	127.0746223	37.54834615	2024-05-30 21:40	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.07267	37.54771	127.072151	37.547842
2024-05-30 21:30	83975751	127.0746223	37.54834615	2024-05-30 21:40	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.072151	37.547842	127.071601	37.547942
2024-05-30 21:30	83975751	127.0746223	37.54834615	2024-05-30 21:40	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.071601	37.547942	127.07127	37.547977
2024-05-30 21:30	83975751	127.0746223	37.54834615	2024-05-30 21:40	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.07127	37.547977	127.070491	37.548087
2024-05-30 21:30	83975751	127.0746223	37.54834615	2024-05-30 21:40	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.070491	37.548087	127.070519	37.548177
2024-05-30 21:30	83975751	127.0746223	37.54834615	2024-05-30 21:40	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.070519	37.548177	127.070724	37.548843
2024-05-30 21:30	83975751	127.0746223	37.54834615	2024-05-30 21:40	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.070724	37.548843	127.070825	37.549216
2024-05-30 21:30	83975751	127.0746223	37.54834615	2024-05-30 21:40	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.070825	37.549216	127.070873	37.549422
2024-05-30 21:30	83975751	127.0746223	37.54834615	2024-05-30 21:40	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.070873	37.549422	127.070943	37.549718
2024-05-30 21:30	83975751	127.0746223	37.54834615	2024-05-30 21:40	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.070943	37.549718	127.071022	37.550054
2024-05-30 21:30	83975751	127.0746223	37.54834615	2024-05-30 21:40	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.071022	37.550054	127.071123	37.550617
2024-05-30 21:30	83975751	127.0746223	37.54834615	2024-05-30 21:40	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.071123	37.550617	127.071183	37.550912
2024-05-30 21:30	83975751	127.0746223	37.54834615	2024-05-30 21:40	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.071183	37.550912	127.071204	37.551008
2024-05-30 21:30	83975751	127.0746223	37.54834615	2024-05-30 21:40	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.071204	37.551008	127.071219	37.551222
2024-05-30 21:30	83975751	127.0746223	37.54834615	2024-05-30 21:40	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.071219	37.551222	127.071233	37.551416
2024-05-30 21:30	83975751	127.0746223	37.54834615	2024-05-30 21:40	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.071233	37.551416	127.071241	37.551636
2024-05-30 21:30	83975751	127.0746223	37.54834615	2024-05-30 21:40	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.071241	37.551636	127.071247	37.551783
2024-05-30 21:30	83975751	127.0746223	37.54834615	2024-05-30 21:40	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.071247	37.551783	127.071306	37.551997
2024-05-30 21:30	83975751	127.0746223	37.54834615	2024-05-30 21:40	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.071306	37.551997	127.071324	37.552077
2024-05-30 21:30	83975751	127.0746223	37.54834615	2024-05-30 21:40	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.071324	37.552077	127.071375	37.552186
2024-05-30 21:30	83975751	127.0746223	37.54834615	2024-05-30 21:40	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.071375	37.552186	127.071415	37.552257
2024-05-30 21:30	83975751	127.0746223	37.54834615	2024-05-30 21:40	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.071415	37.552257	127.071473	37.552329
2024-05-30 21:30	83975751	127.0746223	37.54834615	2024-05-30 21:40	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.071473	37.552329	127.071573	37.552427
2024-05-30 21:30	83975751	127.0746223	37.54834615	2024-05-30 21:40	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.071573	37.552427	127.071692	37.552541
2024-05-30 21:30	83975751	127.0746223	37.54834615	2024-05-30 21:40	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.071692	37.552541	127.071799	37.55263
2024-05-30 21:30	83975751	127.0746223	37.54834615	2024-05-30 21:40	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.071799	37.55263	127.071958	37.552719
2024-05-30 21:30	83975751	127.0746223	37.54834615	2024-05-30 21:40	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.071958	37.552719	127.072247	37.552878
2024-05-30 21:30	83975751	127.0746223	37.54834615	2024-05-30 21:40	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.072247	37.552878	127.072482	37.552997
2024-05-30 21:30	83975751	127.0746223	37.54834615	2024-05-30 21:40	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.072482	37.552997	127.072534	37.552778
2024-05-30 21:30	83975751	127.0746223	37.54834615	2024-05-30 21:40	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.072534	37.552778	127.072624	37.552368
2024-05-30 21:30	83975751	127.0746223	37.54834615	2024-05-30 21:40	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.072624	37.552368	127.072764	37.552243
2024-05-30 21:30	83975751	127.0746223	37.54834615	2024-05-30 21:40	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.072764	37.552243	127.072878	37.552142
2024-05-30 21:30	83975751	127.0746223	37.54834615	2024-05-30 21:40	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.072878	37.552142	127.073317	37.55251
